,S. No.,Month,InBody/service/Dial,Client,Postal code,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,LB,BSM,Home health,Accesory,Invoice Details,Actual Value,Ta,Total,PaymenReceive(Rs,BalancAmount,Installation Status,Warraty,Incentive date,6month visit,12month visit,18month visit
124,9,June,S,Boost Events,400064.0,Malad,Maharashtra,West 1,Corporate,Karn ,08.06.2018,IB 270 Demo,,,,,INV-000040,30000.0,5400.0,35400.0,35400.0,0.0,,,,,,
125,10,June,I,SAMARA GYM,400705.0,Navi Mumbai,Maharashtra,West 1,Fitness ,Anees,08.06.2018,IB 770,,,,ACCS,INV-000041,1252678.58,150321.42,1403000.0,1403000.0,0.0,,,,,,
126,11,June,B,Amanbi Sayed,517325.0,Madanpalle,Andhra Pradesh,South,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000042,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
127,12,June,B,Arwinder Sindhu,140301.0,Mohali,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000043,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
128,13,June,B,Avinash Kapur,400093.0,Andheri,Maharashtra,West 1,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000044,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
129,14,June,B,Abhishek Peri,500072.0,Telangana,Hyderabad,South,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000045,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
130,15,June,B,Alok Mishra,282005.0,Agra,Uttar Pradesh,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000046,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
131,16,June,B,Ashish Dua,141012.0,Ludhiana,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000047,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
132,17,June,B,Christo Yohanan,560068.0,Bengaluru,Karnataka,South,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000048,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
133,18,June,B,Dhawal,410209.0,Navi Mumbai,Maharashtra,West 1,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000049,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
134,19,June,B,Dhruv Kattarya,560066.0,Bangalore,Karnataka,South,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000050,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
135,20,June,B,Dr. Srinathan Natagatna,500010.0,Hyderabad,Telangana,South,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000051,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
136,21,June,B,Dr. Smita Chudhar,410210.0,Navi Mumbai,Maharashtra,West 1,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000052,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
137,22,June,B,Food Corporation of India,147001.0,Patiala,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000053,1142.86,137.14,1280.0,1280.0,0.0,,,,,,
138,23,June,B,Jayant Mishra,440006.0,Nagpur,Maharashtra,West 1,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000054,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
139,24,June,B,Jignesh Dhomse,390023.0,Vadodara,Gujrat,West 2,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000055,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
140,25,June,B,Kulwant Singh,141003.0,Ludhiana,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000056,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
141,26,June,B,Lakhavir Singh,140101.0,Chamkaur Sahib,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000057,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
142,27,June,B,Nakul Jain,160022.0,Chandigarh,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000058,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
143,28,June,B,Naveen Kumar,141012.0,Ludhiana,Punjab,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000059,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
144,29,June,B,Nipun Mittal,122002.0,Gurgaon,Haryana,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000060,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
145,30,June,B,Prakash Vinod Bhat,781024.0,Guwahati,Kolkata,East,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000061,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
146,31,June,B,Pravin K Amin,411038.0,Pune,Maharashtra,West 1,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000062,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
147,32,June,B,Ravinder Yadav,206244.0,Dibiyapur,Uttar Pradesh,North,Amazon,Amazon,12.06.2018,InBody Band,,,HH,,INV-000063,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
148,33,June,I,Team Core Fitness,122017.0,Gurgaon,Haryana,North,Fitness ,Arun ,14.06.2018,IB 120  ,LB,,,ACCS,INV-000064,179107.14,20892.86,200000.0,200000.0,0.0,,,,,,
149,34,June,I,Nobesity Healthcare LLP,380015.0,Ahmedabad,Gujrat,West 2,Wellness,Mahesh,18.06.2018,IB 370 S,,,,ACCS,INV-000065,401862.5,48223.5,450086.0,450086.0,0.0,,,,,,
150,35,June,I,Radiant Fitness,795001.0,Imphal,Manipur,East,Fitness ,Varun,18.06.2018,IB 370,LB,,,,INV-000066,491071.0,58929.0,550000.0,550000.0,0.0,,,,,,
151,36,June,I,Nineleaps Technology Solutions Pvt.Ltd,560034.0,Bangalore,Karnataka,South,Corporate,Karn ,18.06.2018,IB 270,LB,,,,,,,,,,,,,,,
152,INV-000067,419642.86 ,50,357.14,470000.0,470000.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,
153,37,June,I,Endolife Speciality Hosp Pvt ltd,522647.0,Guntur,Andhra Pradesh,South,Medical,Karn ,18.06.2018,IB 120 ,LB,,,ACCS,INV-000068,208928.57,25071.43,234000.0,234000.0,0.0,,,,,,
154,38,June,I,Kartik Associates,600053.0,Chennai,Tamilnadu,South,Corporate,Karn ,18.06.2018,IB 120 ,LB,,,ACCS,INV-000069,147321.43,17678.57,165000.0,165000.0,0.0,,,,,,
155,39,June,D,Meghana Rao,500026.0,Secunderabad,Telangana,South,Personal ,Amazon,22.06.2018,InBody Dial,,,HH,,INV-000070,17839.29,2140.72,19980.0,19980.0,0.0,,,,,,
156,40,June,I,Sweta's Holistic Nutrition,400007.0,Mumbai,Maharashtra,West 1,Nutrition,Chanu,22.06.2018,IB 120 ,LB,,,ACCS,INV-000071,164970.0,17675.36,165000.0,165000.0,0.0,,,,,,
157,41,June,S,Fitness First Mega Mall,400102.0,Mumbai,Maharashtra,West 1,Fitness,Mr.Dawson,25.06.2018,Bluetooth USB ,,,,ACCS,INV-000072,10892.86,1307.14,12200.0,12200.0,0.0,,,,,,
158,42,June,I,Aambika Enterprises(BodyPower Nutrition),414003.0,Ahmednagar,Maharashtra,West 1,Nutrition,Varun,25.06.2018,IB 270,LB,,,ACCS,INV-000073,357136.22,42863.78,400000.0,400000.0,0.0,,,,,,
159,43,June,I,Balin Gyms Pvt. Ltd.,144001.0,Jalandhar,Punjab,North,Fitness,Alamjeet,26.06.2018,IB 370S ,LB,,,ACCS,INV-000074,503750.0,60450.0,564200.0,169260.0,394940.0,,,,,,
160,44,June,S,Apollo Spectra (Kailash Colony),,Delhi,Delhi,North,Corporate,Karn ,28.06.2018,Service,,,,,INV-000075,6000.0,1080.0,7080.0,7080.0,0.0,,,,,,
161,45,June,I,S V Wellness,,Delhi,Delhi,North,Wellness,Shubham,28.06.2018,IB 270,LB,,,ACCS,INV-000076,410800.0,49296.0,460096.0,460096.0,0.0,,,,,,
162,46,June,I,Classic Fitness,,Delhi,Delhi,North,Fitness,Shubham,28.06.2018,IB 270,,,,ACCS,INV-000077,268450.0,32214.0,300664.0,300664.0,0.0,,,,,,
163,47,June,I,Onyx Enterprises,380060.0,Ahmedabad,Gujrat,West 2,Corporate,Karn ,28.06.2018,IB 270,,,,ACCS,INV-000078,379460.0,45540.0,425000.0,425000.0,0.0,,,,,,
164,48,June,I,Lotus Fitness Club,,Bangalore,Karnataka,South,Fitness,Karn ,28.06.2018,IB 370S  ,LB,,,,INV-000079,464285.71,55714.29,520000.0,400000.0,120000.0,,,,,,
165,49,June,D,Zeba khan,400053.0,Mumbai,Maharashtra,West 1,Amazon,Amazon,28.06.2018,InBody Dial,,,HH,,INV-000080,17839.28,2140.72,19980.0,19980.0,0.0,,,,,,
166,50,June,S,Kronos Fitness,413512.0,Mumbai,Maharashtra,West 1,Fitness,Karn,28.06.2018,Service,,,,,INV-000081,7142.86,857.14,8000.0,,8000.0,,,,,,
167,51,June,I,Vijaya diagnostic- Vishakhapatnam,,Vishakhapattanam,Andhra Pradesh,South,Wellness,Karn,29.06.2018,IB 270 ,,,,ACCS,INV-000082,334821.43,40178.57,375000.0,375000.0,0.0,,,,,,
168,52,June,I,Vijaya diagnostic- Hyderabad,,Hyderabad,Telangana,South,Wellness,Karn,29.06.2018,IB 270 (2),,,,ACCS,INV-000083,669642.86,80357.14,750000.0,750000.0,0.0,,,,,,
169,,June,I,Vijaya diagnostic- Hyderabad,,Hyderabad,Telangana,South,Wellness,Karn,29.06.2018,IB 270 (2),,,,,,,,,,,,,,,,
170,53,June,S,Mumbai Cricket Association,400051.0,Mumbai,Maharashtra,West 1,Governement,Dawson,29.06.2018,Spare Parts,,,,ACCS,INV-000084,30625.0,3675.0,34300.0,34300.0,0.0,,,,,,
171,54,June,I,i gymholic gym,380058.0,Ahmedabad,Gujrat,West 2,Fitness,Mahesh,29.06.2018,IB 120,LB,,,ACCS,INV-000085,178593.75,21431.25,200025.0,100000.0,100025.0,,,,,,
172,55,June,I,MULTIFIT WELLNESS PVT.LTD.- Pune,411006.0,Pune,Maharashtra,West 1,Wellness,Ayan,29.06.2018,IB 270,,,,ACCS,INV-000086,334821.0,40179.0,375000.0,375000.0,0.0,,,,,,
173,56,June,I,Vijaya diagnostic- Gurgaon,,Haryana,Gurgaon,North,Wellness,Karn,29.06.2018,IB 270,,,,ACCS,INV-000087,334821.43,40178.57,375000.0,375000.0,0.0,,,,,,
174,57,June,I,MULTIFIT WELLNESS PVT.LTD.-BANGALORE,,Bangalore,Karnataka,South,Wellness,Karn,29.06.2018,IB 270,,,,ACCS,INV-000088,334821.43,40178.57,375000.0,375000.0,0.0,,,,,,
175,58,June,S,VFIT Consultants,,Hyderabad,Telangana,South,Fitness,Kenneth,30.06.2018,Service,,,,,INV-000093,25400.0,0.0,25400.0,25400.0,0.0,,,,,,
176,1,July,S,Swan Genx Projects Pvt Ltd,141001.0,Ludhiana,Punjab,North,Corporate,Alamjeet,02.07.2018,770 Flight Case,,,,ACCS,INV-000089,31250.0,3750.0,35000.0,35000.0,0.0,,,,,,
177,2,July,S,Fitness First India Pvt Ltd,400070.0,Mumbai,Maharashtra,West 1,Fitness,Kenneth,03.07.2018,Service Contract,,,,,INV-000090,20000.0,3600.0,23600.0,23600.0,0.0,,,,,,
178,3,July,I,Talwalkar's Health Club,400031.0,Mumbai,Maharashtra,West 1,Fitness,Anees,04.07.2018,IB 270,,,,ACCS,INV-000091,348214.28,41785.72,390000.0,390000.0,0.0,,,,,,
179,4,July,D,Ms. Arati Mandre,400005.0,Mumbai,Maharashtra,West 1,Amazon,Amazon,04.07.2018,InBody Dial,,,HH,,INV-000092,17839.28,2140.72,19980.0,19980.0,0.0,,,,,,
180,5,July,S,Veda Fitness,400706.0,Mumbai,Maharashtra,West 1,Fitness,Anees,06.07.2018,InBody Result Sheet,,,,ACCS,INV-000094,4464.28,535.72,5000.0,5000.0,0.0,,,,,,
181,6,July,S,Fitness First Platinum,400051.0,Mumbai,Maharashtra,West 1,Fitness,Dawson,06.07.2018,Services,,,,,INV-000095,6870.46,1129.54,8000.0,0.0,8000.0,,,,,,
182,7,July,S,Ozone Club Rohtak,124001.0,Rohtak,Haryana,North,Fitness,Tushar,09.07.2018,Hard Lock key,,,,ACCS,INV-000096,12946.43,1553.57,14500.0,14500.0,0.0,,,,,,
183,8,July,S,Planet 9 Fitness Centre India Pvt Ltd,400077.0,Mumbai,Maharashtra,West 1,Fitness,Anees,10.07.2018,Result Sheet,,,,ACCS,INV-000097,2232.14,267.86,2500.0,2500.0,0.0,,,,,,
184,9,July,D,Nikhil Shankar Mathur,122102.0,Gurgaon,Haryana,North,Amazon,Amazon,10.07.2018,InBody Dial,,,HH,,INV-000098,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
185,10,July,I,VO2 Fitness & Institute,380009.0,Ahmedabad,Gujrat,West 2,Fitness,Mahesh,10.07.2018,IB 120,LB,,,ACCS,INV-000099,160714.29,19285.71,180000.0,90000.0,90000.0,,,,,,
186,11,July,I,Telerad RXDX Healthcare Pvt Ltd,560048.0,Bengaluru,Karnataka,South,Wellness,Karn,11.07.2018,IB 270,LB,,,ACCS,INV-000100,406250.0,48750.0,455000.0,227500.0,227500.0,,,,,,
187,12,July,I,Vijaya Diagnostic Bangalore,560038.0,Bengaluru,Karnataka,South,Wellness,Karn,11.07.2018,IB 270,,,,ACCS,INV-000101,334821.43,40178.57,375000.0,375000.0,0.0,,,,,,
188,13,July,D,Nikhil Shankar Mathur,122102.0,Gurgaon,Haryana,North,Amazon,Amazon,10.07.2018,InBody Dial,,,HH,,INV-000102,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
189,14,July,S,RNFS Fitness & Spa Centre,795001.0,Manipur,Imphal,East,Fitness,Varun,12.07.2018,Service,LB,,,,INV-000103,12950.0,1550.0,14500.0,14500.0,0.0,,,,,,
190,15,July,I,Rajput Enterprises,492001.0,Raipur,Chhattisgarh,East,Corporate,Varun,17.07.2018,IB 270,LB,,,ACCS,INV-000104,714287.21,85712.79,800000.0,800000.0,0.0,,,,,,
191,16,July,I,Nutricia International Pvt Ltd,400070.0,Mumbai,Maharashtra,West 1,Corporate,Anees,17.07.2018,IB 270,,,,ACCS,INV-000105,465687.42,59187.58,524875.0,478431.2,46443.8,,,,,,
192,17,July,I,Meenakshi Multitrade Pvt Ltd,400607.0,Mumbai,Maharashtra,West 1,Corporate,Anees,17.07.2018,IB 270,,,,ACCS,INV-000106,410673.22,49280.78,459954.0,230000.0,229954.0,,,,,,
193,18,July,I,Cipla,411030.0,Pune,Maharashtra,West 1,Pharma,Ayan,18.07.2018,IB 270,LB,,,ACCS,INV-000107,401785.72,48214.28,450000.0,450000.0,0.0,,,,,,
194,19,July,I,Hero Motocorp Ltd,389350.0,Vadodara,Gujrat,West 2,Pharma,Mahesh,23.07.2018,IB 270,LB,,,,INV-000108,424112.08,50888.88,475000.96,475000.96,0.0,,,,,,
195,20,July,I,Positive training personal Existance Pvt Ltd,411048.0,Pune,Maharashtra,West 1,Corporate,Ayan,23.07.2018,IB 270,LB,,,ACCS,INV-000109,401785.72,48214.28,450000.0,450000.0,0.0,,,,,,
196,21,July,D,Dr.Anita Merani,422007.0,Nasik,Maharashtra,West 1,Amazon,Amazon,23.07.2018,InBody Dial,,,HH,,INV-000110,17839.28,2140.72,19980.0,19980.0,0.0,,,,,,
197,22,July,D,Youngsang Yoo Anna,201304.0,Noida,Uttar Pradesh,North,Amazon,Amazon,23.07.2018,InBody Dial,,,HH,,INV-000111,17839.28,2140.72,19980.0,19980.0,0.0,,,,,,
198,23,July,D,Pranutan Bahi,400005.0,Mumbai,Maharashtra,West 1,Amazon,Amazon,25.07.2018,InBody Dial,,,HH,,INV-000112,17839.28,2140.72,19980.0,19980.0,0.0,,,,,,
199,24,July,D,Nutri Essence,395007.0,Surat,Gujrat,West 2,Fitness,Mahesh,26.07.2018,InBody Dial,,,HH,,INV-000113,17857.14,2142.86,20000.0,0.0,20000.0,,,,,,
200,25,July,I,K D Hospital,382421.0,Ahmedabad,Gujrat,West 2,Medical,Mahesh,26.07.2018,IB 770,,,,ACCS,INV-000114,1026785.71,123214.29,1150000.0,805000.0,345000.0,,,,,,
201,26,July,I,Star International (Anytime Fitness),110018.0,New Delhi,New Delhi,North,Fitness,Shubham,26.07.2018,IB 270,LB,,,ACCS,INV-000115,410711.82,49288.18,460000.0,230000.0,230000.0,,,,,,
202,27,July,S,Aditya Birla Memorial Hospital,411033.0,Pune,Maharashtra,West 1,Medical,Dawson,26.07.2018,Services,,,,ACCS,INV-000116,5977.6,1022.4,7000.0,7000.0,0.0,,,,,,
203,28,July,I,Pradnya Sonawane,400060.0,Andheri,Maharashtra,West 1,Nutrition,Anees,27.07.2018,IB 120,LB,,,ACCS,INV-000120,174093.74,20891.26,194985.0,194985.0,0.0,,,,,,
204,29,July,I,Beyond Fitness,700055.0,Kolkata,West Bengal,East,Fitness,Varun,30.07.2018,IB 120,LB,,,ACCS,INV-000121,178568.75,21431.25,200000.0,200000.0,0.0,,,,,,
205,30,July,D,Zest Fitness Studio,560102.0,Bengaluru,Karnataka,South,Fitness,Amazon,30.07.2018,InBody Dial,,,HH,,INV-000122,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
206,31,July,I,Ambika Enterprises,414003.0,Auragabad,Maharashtra,West 1,Corporate,Anees,31.07.2018,IB 270,LB,,,ACCS,INV-000123,357137.0,42856.0,399993.0,399993.0,0.0,,,,,,
207,32,July,I,Athlecross Fitness & Wellness LLP,394510.0,Surat,Gujrat,West 2,Fitness,Mahesh,31.07.2018,IB 370S,LB,,,ACCS,INV-000124,535721.43,64286.57,600008.0,600008.0,0.0,,,,,,
208,1,August,I,Gap Global Exim LLP,208002.0,Kanpur,Uttarpradesh,North,Corporate,Alamjeet,02.08.2018,IB 120,LB,,,ACCS,INV-000125,205352.86,24647.14,230000.0,80500.0,149500.0,,,,,,
209,2,August,I,Raw House Fitness,160017.0,Chandigarh,Chandigarh,North,Fitness,Alamjeet,02.08.2018,IB 120,LB,,,ACCS,INV-000126,205352.86,24647.14,230000.0,150000.0,80000.0,,,,,,
210,3,August,I,Cardiac Diagnostic & Services Pvt Ltd,560026.0,Bangalore,Karnataka,South,Medical,Karn,03.08.2018,IB 270,,,,ACCS,INV-000127,348214.29,41785.71,390000.0,100000.0,290000.0,,,,,,
211,4,August,S,Elite Fitness & Entertainment Pvt Ltd,452010.0,Indore,MadhyaPradesh,North,Fitness,Dawson,03.08.2018,Services,LB,,,ACCS,INV-000128,57700.0,8004.0,65704.0,65704.0,0.0,,,,,,
212,5,August,I,IFIM Institutions,560100.0,Bangalore,Karnataka,South,Education,Karn,07.08.2018,IB 120,LB,,,ACCS,INV-000129,223214.29,26785.71,250000.0,250000.0,0.0,,,,,,
213,6,August,S,Knockout Fitness Pvt Ltd,781007.0,Guwahati,Aassam,East,Fitness,Tushar,07.08.2018,Services,,,,ACCS,INV-000130,12946.43,1553.57,14500.0,14500.0,0.0,,,,,,
214,7,August,K,Nutri Essence,395007.0,Surat,Gujrat,West 2,Nutrition,Mahesh,07.08.2018,InKids,,,HH,,INV-000131,10714.29,1285.71,12000.0,0.0,12000.0,,,,,,
215,8,August,I,Manipal Hospital Delhi,110075.0,Delhi,New Delhi,North,Medical,Shubham,08.08.2018,IB 770,LB,BSM,HH,ACCS,INV-000132,1449400.0,173928.0,1623328.0,1623328.0,0.0,,,,,,
216,9,August,I,Jumpstart Ventures,110025.0,Delhi,New Delhi,North,Corporate,Shubham,08.08.2018,IB 120,LB,,,ACCS,INV-000133,205650.0,24678.0,230328.0,230328.0,0.0,,,,,,
217,10,August,D,Panjatan Khan,400709.0,Navi Mumbai,RA,West 1,Amazon,Amazon,09.08.2018,InBody Dial,,,HH,,INV-000134,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
218,11,August,S,Praba's Vcare Health Clinic Pvt Ltd,600017.0,Chennai,Tamilnadu,South,Medical,Karn,10.08.2018,Services,,,,ACCS,INV-000135,16517.86,1982.14,18500.0,0.0,18500.0,,,,,,
219,12,August,I,Aaditya Marketing And Trading Co,370201.0,Kutch,Gujrat,West 2,Corporate,Mahesh,13.08.2018,IB 270,,,,ACCS,INV-000136,379500.0,45540.0,425040.0,400000.0,25040.0,,,,,,
220,13,August,I,The Cloud Nine Fitness Club,400064.0,Malad,Maharashtra,West 1,Fitness,Anees,13.08.2018,IB 120,LB,,,ACCS,INV-000137,160714.28,19285.72,180000.0,180000.0,0.0,,,,,,
221,14,August,I,Niti Desai,400007.0,Mumbai,Maharashtra,West 1,Nutrition,Chanu,16.08.2018,IB 120,LB,,,ACCS,INV-000138,174107.14,20892.86,195000.0,195000.0,0.0,,,,,,
222,15,August,I,National Institute Of Nutrition,500007.0,Hyderabad,Telangana,South,Research,Karn,17.08.2018,IB 120 (3Units),LB,,,ACCS,INV-000139,626785.71,75214.29,702000.0,702000.0,0.0,,,,,,
223,15,August,I,National Institute Of Nutrition,500007.0,Hyderabad,Telangana,South,Research,Karn,17.08.2018,IB 120 (3Units),,,,,,,,,,,,,,,,
224,15,August,I,National Institute Of Nutrition,500007.0,Hyderabad,Telangana,South,Research,Karn,17.08.2018,IB 120 (3Units),,,,,,,,,,,,,,,,
225,16,August,I,Kaya Limited,110036.0,Delhi,New Delhi,North,Nutrition,Anees,17.08.2018,IB 370S,,,,ACCS,INV-000140,495525.0,59475.0,555000.0,555000.0,0.0,,,,,,
226,17,August,I,Krishna Garments,781001.0,Guwahati,Aassam,East,Corporate,Varun,17.08.2018,IB 120,LB,,,ACCS,INV-000141,178568.75,21431.25,200000.0,200000.0,0.0,,,,,,
227,18,August,I,Sairam Namma Ventures,560062.0,Bangalore,Karnataka,South,Corporate,Karn,17.08.2018,IB 270,LB,,,,INV-000142,437496.52,52503.48,490000.0,0.0,490000.0,,,,,,
228,19,August,D,Debkumar Biswas,700074.0,Kolkata,West Bengal,East,Amazon,Amazon,17.08.2018,InBody Dial,,,HH,,INV-000143,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
229,20,August,D,Onyx Enterprises,380060.0,Ahmedabad,Gujrat,West 2,Corporate,Mahesh,21.08.2018,InBody Dial (2),,,HH,,INV-000144,30356.89,3643.11,34000.0,34000.0,0.0,,,,,,
230,20,August,D,Onyx Enterprises,380060.0,Ahmedabad,Gujrat,West 2,Corporate,Mahesh,21.08.2018,InBody Dial (2),,,,,,,,,,,,,,,,
231,21,August,D,G Sudarshan Rupa Sravani,518001.0,Kurnool,Andhra Pradesh,South,Amazon,Amazon,22.08.2018,InBody Dial,,,HH,,INV-000145,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
232,22,August,S,VLCC Healthcare Ltd,600040.0,Chennai,Tanilnade,South,Nutrition,Dawson,23.08.2018,Services,LB,,,ACCS,INV-000146,25000.0,3000.0,28000.0,28000.0,0.0,,,,,,
233,23,August,S,The Planet Fitness,,Raipur,Chhattisgarh,East,Fitness,Tushar,23.08.2018,Services,,,,ACCS,INV-000147,12946.43,1553.57,14500.0,14500.0,0.0,,,,,,
234,24,August,I,Belle Vue Clinic,700017.0,Kolkata,West Bengal,East,Medical,Varun,24.08.2018,IB 270,,,,ACCS,INV-000148,379500.0,45540.0,425040.0,425040.0,0.0,,,,,,
235,25,August,I,Rajput Enterprises,492001.0,Raipur,Chhattisgarh,East,Corporate,Varun,24.08.2018,IB 270,LB,,,,INV-000149,357136.21,42863.79,400000.0,400000.0,0.0,,,,,,
236,26,August,I,Sultania Wellness Hub,492001.0,Raipur,Chhattisgarh,East,Wellness,Varun,24.08.2018,IB 120,LB,,,ACCS,INV-000150,200892.86,24107.14,225000.0,225000.0,0.0,,,,,,
237,27,August,I,DNG Fitness,495001.0,Bilaspur,Chhattisgarh,East,Fitness,Varun,24.08.2018,IB 120,LB,,,ACCS,INV-000151,196428.04,23571.96,220000.0,220000.0,0.0,,,,,,
238,28,August,D,Lalan Kumar,800013.0,Patna,Bihar,East,Amazon,Amazon,27.08.2018,InBody Dial,,,HH,,INV-000152,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
239,29,August,D,Aabhishek Kamal Kumar,440013.0,Nagpur,Maharashtra,West 1,Amazon,Amazon,27.08.2018,InBody Dial,,,HH,,INV-000153,17865.68,2144.32,20010.0,20010.0,0.0,,,,,,
240,1,September,I,Befastfit,124001.0,Faridabad,Haryana,North,Fitness,Shubham,05.09.2018,IB 270,LB,,,,INV-000154,401700.0,48204.0,449904.0,449904.0,0.0,,,,,,
241,2,September,I,CDN Vision,201304.0,Noida,Uttarpradesh,North,Medical,Shubham,05.09.2018,IB 270,LB,,,ACCS,INV-000155,402960.0,48355.2,451315.2,315000.0,136315.2,,,,,,
242,3,September,K,Jarma Wellness LLP,400053.0,Andheri,Maharashtra,West 1,Wellness,Anees,05.09.2018,InKids (3),,,,,INV-000156,21428.58,2571.42,24000.0,24000.0,0.0,,,,,,
243,3,September,K,Jarma Wellness LLP,400053.0,Andheri,Maharashtra,West 1,Wellness,Anees,05.09.2018,InKids (3),,,,,,,,,,,,,,,,
244,3,September,K,Jarma Wellness LLP,400053.0,Andheri,Maharashtra,West 1,Wellness,Anees,05.09.2018,InKids (3),,,,,,,,,,,,,,,,
245,4,September,I,A A Fitness Studio,,Jammu,Jammu & Kashmir,North,Fitness,Alamjeet,05.09.2018,IB 270,LB,,,ACCS,INV-000157,419646.39,50353.61,470000.0,470000.0,0.0,,,,,,
246,5,September,I,Zorba Renaissance Pvt Ltd,400050.0,Bandra,Maharashtra,West 1,Corporate,Anees,09.09.2018,IB 120,LB,,,,INV-000158,205312.5,24637.5,229950.0,229950.0,0.0,,,,,,
247,6,September,I,HeroMoto Corp,122001.0,Gurgaon,Haryana,North,Corporate,Arun,11.09.2018,IB 270,LB,,,,INV-000159,424995.2,51004.8,476000.0,476000.0,0.0,,,,,,
248,7,September,I,Shivshakti Fitness,110027.0,New Delhi,Delhi,North,Fitness,Arun,11.09.2018,IB 120,LB,,,ACCS,INV-000160,205352.86,24647.14,230000.0,230000.0,0.0,,,,,,
249,8,September,I,Mohit Global Services Pvt Ltd,201301.0,Noida,Uttarpradesh,North,Corporate,Karn,11.09.2018,IB 370S,LB,,,ACCS,INV-000161,460714.29,55285.71,516000.0,250000.0,266000.0,,,,,,
250,9,September,I,Crying Fat Fitness LLP,400056.0,Vileparle,Maharashtra,West 1,Fitness,Anees,12.09.2018,IB 120,LB,,,ACCS,INV-000162,205335.72,24640.28,229976.0,229976.0,0.0,,,,,,
251,10,September,S,VLCC Healthcare Ltd,110075.0,Delhi,Delhi,North,Wellness,Tushar,12.09.2018,,,,,ACCS,INV-000163,23727.61,9872.39,33600.0,0.0,33600.0,,,,,,
252,11,September,I,Balance Nutrition,400054.0,Mumbai,Maharashtra,West 1,Nutrition,Anees,14.09.2018,IB 270,LB,,,ACCS,INV-000164,393300.0,47196.0,440496.0,440496.0,0.0,,,,,,
253,12,September,I,Geeta Nutriheal Consultancy,411007.0,Pune,Maharashtra,West 1,Wellness,Ayan,14.09.2018,IB 120,LB,,,ACCS,INV-000165,209821.42,25178.58,235000.0,235000.0,0.0,,,,,,
254,13,September,I,Nitin Cotton Industries,411028.0,Pune,Maharashtra,West 1,Corporate,Ayan,14.09.2018,IB 120,LB,,,ACCS,INV-000166,204821.42,25178.58,230000.0,215000.0,15000.0,,,,,,
255,14,September,I,INVESTING SOLUTIONS,110045.0,Delhi,Delhi,North,Fitness,Arun,17.09.2018,IB 120,LB,,,ACCS,INV-000168,205380.05,24645.6,230025.65,230025.65,0.0,,,,,,
